time,target_x_deg,target_y_deg,gimbal_pitch_rad,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_z,angular_x,angular_y,angular_z,vel_x,vel_y,vel_z
1769096196.039468,,,,0.127366081,-0.236863717,-0.024901738,0.962836146,51.83640671,65.96486664,36.09222412,-0.326404303,0.060023718,0.138981506,-8.893710136,-3.722892523,-7.897792816
1769096196.044931,,,-0.106251806,,,,,,,,,,,,,
1769096196.047978,,,,,,,,,,,,,,,,
1769096196.048143,1.540077925,-0.995064259,,,,,,,,,,,,,,
1769096196.056941,,,,0.125389248,-0.239010856,-0.027167955,0.962503612,51.64165115,65.88356781,35.9212265,-0.255703807,-0.033536404,0.1607728,-8.991816521,-3.742746353,-7.797241688
1769096196.067408,,,-0.109552458,,,,,,,,,,,,,
1769096196.068105,1.540077925,-0.995064259,,,,,,,,,,,,,,
1769096196.071232,,,,0.123473495,-0.239500359,-0.029500365,0.962561011,51.47114563,65.81300354,35.77542877,-0.289425045,-0.045736779,0.180901393,-9.084472656,-3.757000685,-7.687275887
1769096196.078563,,,-0.111201957,,,,,,,,,,,,,
1769096196.084886,,,,,,,,,,,,,,,,
1769096196.086746,,,,0.121675342,-0.239290446,-0.031918053,0.962764978,51.27563858,65.73236847,35.63361359,-0.253840446,-0.009481147,0.203460947,-9.165665627,-3.762980938,-7.615903378
1769096196.089053,,,,,,,,,,,,,,,,
1769096196.089234,1.354870915,-1.42146349,,,,,,,,,,,,,,
1769096196.104062,,,-0.111201957,,,,,,,,,,,,,
1769096196.106114,,,,0.120309189,-0.239402995,-0.032974765,0.962873161,51.27563858,65.73236847,35.63361359,-0.152080044,-0.038481284,0.137616724,-9.165665627,-3.762980938,-7.615903378
1769096196.107786,1.354870915,-1.42146349,,,,,,,,,,,,,,
1769096196.112155,,,-0.111201957,,,,,,,,,,,,,
1769096196.116102,,,,,,,,,,,,,,,,
1769096196.120441,,,,0.119506627,-0.239266515,-0.033513959,0.962988436,51.07480621,65.65024567,35.46829224,-0.144806951,-0.002045039,0.151011795,-9.251991272,-3.767195463,-7.546645641
1769096196.129102,,,,,,,,,,,,,,,,
1769096196.129264,0.998532414,-1.961534023,,,,,,,,,,,,,,
1769096196.135567,,,,,,,,,,,,,,,,
1769096196.136478,,,-0.111201957,,,,,,,,,,,,,
1769096196.136857,,,,0.118107572,-0.239390969,-0.034497675,0.963095367,50.90487289,65.58107758,35.33065414,-0.136196703,0.055998579,0.177549168,-9.318640709,-3.76554203,-7.50096941
1769096196.144768,,,-0.111201957,,,,,,,,,,,,,
